"year"|"conflictid_new"|"actor"|"conflict_type"|"conflict_country"|"ai_prev"|"hrw_prev"|"state_prev"|"actor_type"|"theta_static"|"theta_sd_static"|"theta_upper_static"|"theta_low_static"|"theta_dynamic"|"theta_sd_dynamic"|"theta_upper_dynamic"|"theta_low_dynamic"|"max_prev"|"lag_ai_prev"|"lag_hrw_prev"|"lag_state_prev"|"lag_max_prev"|"lag_theta_static"|"lag_theta_sd_static"|"lag_theta_dynamic"|"lag_theta_sd_dynamic"
1990|364|"Government"|"intra"|"India"|2|2|1|1|1.88193927364272|0.385432997637239|2.59969889694639|1.08005341060312|2.18984550230606|0.382358957484262|2.91739772344725|1.4235469980114|2|0|NA|0|0|-0.275742948531925|0.826425010617694|-0.229691100383781|0.853006531186675
1991|364|"Government"|"intra"|"India"|1|2|1|1|1.625425847306|0.384212595257663|2.37584534792257|0.852768220831306|1.97036441994917|0.383531220959498|2.71814194420103|1.19999312715158|2|2|2|1|2|1.88193927364272|0.385432997637239|2.18984550230606|0.382358957484262
1992|364|"Government"|"intra"|"India"|1|1|1|1|1.4272649722929|0.357925240468363|2.11319684584541|0.70173258895801|1.80263151800153|0.378431949857956|2.56472853342276|1.08617312004693|1|1|2|1|2|1.625425847306|0.384212595257663|1.97036441994917|0.383531220959498
1993|364|"Government"|"intra"|"India"|1|1|1|1|1.42259602004851|0.367043253524272|2.12317001028901|0.67054240431232|1.80135786030481|0.357938578673644|2.50551085610421|1.09638930319322|1|1|1|1|1|1.4272649722929|0.357925240468363|1.80263151800153|0.378431949857956
1994|364|"Government"|"intra"|"India"|2|1|1|1|1.63389708352477|0.378885625079328|2.36666135680525|0.848135730650742|2.02504766158057|0.390983665786791|2.80548622070941|1.27691524474834|2|1|1|1|1|1.42259602004851|0.367043253524272|1.80135786030481|0.357938578673644
1995|364|"Government"|"intra"|"India"|0|1|1|1|1.093767305667|0.408478685016821|1.83435806330646|0.246536112752184|1.48717396087859|0.397143617835347|2.23938137527373|0.684079289497162|1|2|1|1|2|1.63389708352477|0.378885625079328|2.02504766158057|0.390983665786791
1996|364|"Government"|"intra"|"India"|1|1|0|1|1.18331807372566|0.404034759425677|1.92774660723441|0.331131927258924|1.54463997871412|0.405998164325424|2.30453883017842|0.706851866480037|1|0|1|1|1|1.093767305667|0.408478685016821|1.48717396087859|0.397143617835347
1997|364|"Government"|"intra"|"India"|2|1|2|1|1.82812361783382|0.363255061691841|2.52144697501452|1.11485633490741|2.21809705961777|0.379528972715321|2.9720966923887|1.48353122572942|2|1|1|0|1|1.18331807372566|0.404034759425677|1.54463997871412|0.405998164325424
1998|364|"Government"|"intra"|"India"|0|1|2|1|1.2744918673366|0.421713171874459|2.06791850383896|0.379396548109727|1.69863932469541|0.402227504752506|2.48502921450471|0.893868057271737|2|2|1|2|2|1.82812361783382|0.363255061691841|2.21809705961777|0.379528972715321
1999|364|"Government"|"intra"|"India"|0|0|2|1|0.685313053718356|0.563396121485959|1.64534389295404|-0.572999676992832|1.16556063640034|0.539579511781538|2.10604685756112|-0.0450531761769807|2|0|1|2|2|1.2744918673366|0.421713171874459|1.69863932469541|0.402227504752506
2000|364|"Government"|"intra"|"India"|0|0|2|1|0.692186072473535|0.571078512061212|1.68104447672237|-0.57724061961237|1.19570405647139|0.53788884682096|2.14258160763554|0.0087183599873477|2|0|0|2|2|0.685313053718356|0.563396121485959|1.16556063640034|0.539579511781538
